"Ano";"Mês";"TipoMercado";"RegiãoAgregada";"Preço em Reais por MMBtu";"Volume em mil metros cúbicos dia"
"2022";5;"Não Térmico";"Norte-Nordeste";91,9;12015
"2022";5;"Térmico";"Norte-Nordeste";37,6;4037
"2022";5;"Não Térmico";"Sudeste";93,8;27122
"2022";5;"Não Térmico";"Sul-Centro-Oeste";105,8;5287
"2022";5;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;537
"2022";6;"Não Térmico";"Norte-Nordeste";84,7;11327
"2022";6;"Térmico";"Norte-Nordeste";21,8;10951
"2022";6;"Não Térmico";"Sudeste";93,6;27590
"2022";6;"Não Térmico";"Sul-Centro-Oeste";105,8;5379
"2022";6;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;154
"2022";7;"Não Térmico";"Norte-Nordeste";79,2;10373
"2022";7;"Térmico";"Norte-Nordeste";23,9;8843
"2022";7;"Não Térmico";"Sudeste";92,5;26917
"2022";7;"Não Térmico";"Sul-Centro-Oeste";105,5;5166
"2022";7;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;350
"2022";8;"Não Térmico";"Norte-Nordeste";86,7;11105
"2022";8;"Térmico";"Norte-Nordeste";23,7;9096
"2022";8;"Não Térmico";"Sudeste";96;27075
"2022";8;"Térmico";"Sudeste-Sul-Centro-Oeste";285,5;917
"2022";8;"Não Térmico";"Sul-Centro-Oeste";110,3;5125
"2022";9;"Não Térmico";"Norte-Nordeste";80,2;10550
"2022";9;"Térmico";"Norte-Nordeste";23;9238
"2022";9;"Não Térmico";"Sudeste";95,6;26483
"2022";9;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;864
"2022";9;"Não Térmico";"Sul-Centro-Oeste";107,8;4972
"2022";10;"Não Térmico";"Norte-Nordeste";79,2;12061
"2022";10;"Térmico";"Norte-Nordeste";25,4;8108
"2022";10;"Não Térmico";"Sudeste";95,3;25274
"2022";10;"Não Térmico";"Sul-Centro-Oeste";104,8;4897
"2022";10;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;843
"2022";11;"Não Térmico";"Norte-Nordeste";77,9;11177
"2022";11;"Térmico";"Norte-Nordeste";27,1;7318
"2022";11;"Não Térmico";"Sudeste";90,2;25500
"2022";11;"Não Térmico";"Sul-Centro-Oeste";100,2;4853
"2022";11;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;926
"2022";12;"Não Térmico";"Norte-Nordeste";80,2;11405
"2022";12;"Não Térmico";"Sudeste";90;23381
"2022";12;"Térmico";"Norte-Nordeste";NA;9722
"2022";12;"Não Térmico";"Sul-Centro-Oeste";98,1;4198
"2022";12;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;1214
"2023";1;"Não Térmico";"Norte-Nordeste";76,2;11293
"2023";1;"Não Térmico";"Sudeste";90,5;23458
"2023";1;"Térmico";"Norte-Nordeste";NA;6944
"2023";1;"Não Térmico";"Sul-Centro-Oeste";92,9;4200
"2023";1;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;1506
"2023";2;"Não Térmico";"Norte-Nordeste";70,5;11103
"2023";2;"Não Térmico";"Sudeste";82,3;24174
"2023";2;"Térmico";"Norte-Nordeste";NA;5154
"2023";2;"Não Térmico";"Sul-Centro-Oeste";84,8;4549
"2023";2;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;753
"2023";3;"Não Térmico";"Norte-Nordeste";67,9;11416
"2023";3;"Não Térmico";"Sudeste";82,3;24228
"2023";3;"Térmico";"Norte-Nordeste";NA;4407
"2023";3;"Não Térmico";"Sul-Centro-Oeste";85,3;4484
"2023";3;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;744
"2023";4;"Não Térmico";"Norte-Nordeste";67,3;9810
"2023";4;"Não Térmico";"Sudeste";82,7;24065
"2023";4;"Térmico";"Norte-Nordeste";NA;7026
"2023";4;"Não Térmico";"Sul-Centro-Oeste";88,7;4454
"2023";4;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;1242
"2023";5;"Não Térmico";"Norte-Nordeste";61,7;9598
"2023";5;"Não Térmico";"Sudeste";76,3;25025
"2023";5;"Térmico";"Norte-Nordeste";NA;5309
"2023";5;"Não Térmico";"Sul-Centro-Oeste";82;4361
"2023";5;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;922
"2023";6;"Não Térmico";"Norte-Nordeste";61,2;8821
"2023";6;"Não Térmico";"Sudeste";76,1;25483
"2023";6;"Térmico";"Norte-Nordeste";NA;9829
"2023";6;"Não Térmico";"Sul-Centro-Oeste";82,5;4417
"2023";6;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;796
"2023";7;"Não Térmico";"Norte-Nordeste";59,8;9567
"2023";7;"Não Térmico";"Sudeste";77,1;24526
"2023";7;"Térmico";"Norte-Nordeste";NA;8199
"2023";7;"Não Térmico";"Sul-Centro-Oeste";83,8;4123
"2023";7;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;865
"2023";8;"Não Térmico";"Norte-Nordeste";56,5;8042
"2023";8;"Não Térmico";"Sudeste";72,2;24727
"2023";8;"Térmico";"Norte-Nordeste";NA;6937
"2023";8;"Não Térmico";"Sul-Centro-Oeste";76,3;4339
"2023";8;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;1090
"2023";9;"Não Térmico";"Norte-Nordeste";56,6;9243
"2023";9;"Não Térmico";"Sudeste";72;24362
"2023";9;"Térmico";"Norte-Nordeste";NA;7564
"2023";9;"Não Térmico";"Sul-Centro-Oeste";74,1;4287
"2023";9;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;70
"2023";10;"Não Térmico";"Norte-Nordeste";58,8;9707
"2023";10;"Não Térmico";"Sudeste";71,9;24533
"2023";10;"Térmico";"Norte-Nordeste";NA;7406
"2023";10;"Não Térmico";"Sul-Centro-Oeste";75;4168
"2023";10;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;357
"2023";11;"Não Térmico";"Norte-Nordeste";62,1;9012
"2023";11;"Não Térmico";"Sudeste";77,9;24457
"2023";11;"Térmico";"Norte-Nordeste";27,4;10678
"2023";11;"Não Térmico";"Sul-Centro-Oeste";81;4213
"2023";11;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;2143
"2023";12;"Não Térmico";"Norte-Nordeste";62,6;8296
"2023";12;"Não Térmico";"Sudeste";80,1;22504
"2023";12;"Térmico";"Norte-Nordeste";30,2;8606
"2023";12;"Não Térmico";"Sul-Centro-Oeste";80,9;3718
"2023";12;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;3065
"2024";1;"Não Térmico";"Norte-Nordeste";66,3;8090
"2024";1;"Não Térmico";"Sudeste";78,4;22459
"2024";1;"Térmico";"Norte-Nordeste";26,1;10922
"2024";1;"Não Térmico";"Sul-Centro-Oeste";76,6;3898
"2024";1;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;3341
"2024";2;"Não Térmico";"Norte-Nordeste";66;8151
"2024";2;"Não Térmico";"Sudeste";77,6;23495
"2024";2;"Térmico";"Norte-Nordeste";NA;7117
"2024";2;"Não Térmico";"Sul-Centro-Oeste";75,6;4226
"2024";2;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;1660
"2024";3;"Não Térmico";"Norte-Nordeste";66,8;8297
"2024";3;"Não Térmico";"Sudeste";76,2;22520
"2024";3;"Térmico";"Norte-Nordeste";NA;5464
"2024";3;"Não Térmico";"Sul-Centro-Oeste";75,6;4056
"2024";3;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;1940
"2024";4;"Não Térmico";"Norte-Nordeste";63,8;8862
"2024";4;"Não Térmico";"Sudeste";77,9;23345
"2024";4;"Térmico";"Norte-Nordeste";NA;5635
"2024";4;"Não Térmico";"Sul-Centro-Oeste";74;4247
"2024";4;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;1583
"2024";5;"Não Térmico";"Norte-Nordeste";62,3;8837
"2024";5;"Não Térmico";"Sudeste";77,3;23391
"2024";5;"Não Térmico";"Sul-Centro-Oeste";72,9;4118
"2024";5;"Térmico";"Norte-Nordeste";NA;5398
"2024";5;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;81
"2024";6;"Não Térmico";"Norte-Nordeste";63,2;9181
"2024";6;"Não Térmico";"Sudeste";74,6;23909
"2024";6;"Não Térmico";"Sul-Centro-Oeste";72,9;4333
"2024";6;"Térmico";"Norte-Nordeste";NA;5525
"2024";6;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;1225
"2024";7;"Não Térmico";"Norte-Nordeste";63,8;9380
"2024";7;"Não Térmico";"Sudeste";75,5;24807
"2024";7;"Não Térmico";"Sul-Centro-Oeste";73,5;4524
"2024";7;"Térmico";"Norte-Nordeste";NA;10002
"2024";7;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;1969
"2024";8;"Não Térmico";"Norte-Nordeste";65,1;8989
"2024";8;"Não Térmico";"Sudeste";81,1;25157
"2024";8;"Não Térmico";"Sul-Centro-Oeste";78,1;4564
"2024";8;"Térmico";"Norte-Nordeste";NA;11933
"2024";8;"Térmico";"Sudeste-Sul-Centro-Oeste";NA;2626


